source,category,qid,type,question,optionA,optionB,optionC,optionD,optionE,optionF,correct,feedback,tags
hlthcr,1. Who Pays for Healthcare?,Q-PAY-013,mc,What is a self-pay patient?,A patient enrolled in Medicare Part A,A patient covered by an employer-sponsored group health plan,A patient who does not have health insurance or chooses not to file a claim with their insurer,A patient whose payor has denied their claim,,,C,A self-pay patient is someone who does not have health insurance or who chooses not to submit a claim to their insurance for a particular service.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-014,mc,What is the most common way Americans obtain private health insurance?,Purchasing directly from an insurance company,Through employer-sponsored group health plans,Through the Health Insurance Marketplace,Through Medicaid,,,B,Employer-sponsored group health plans are the most common way Americans obtain private health insurance.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-015,mc,Which type of health plan is exempt from HIPAA covered-entity requirements?,Medicare,A group health plan with fewer than 50 participants administered solely by the employer,Any HMO plan,Medicaid,,,B,A group health plan with fewer than 50 participants that is administered solely by the employer is exempt from HIPAA covered-entity requirements.,HIPAA;basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-016,tf,Original Medicare consists of two parts: Part A (Hospital Insurance) and Part B (Medical Insurance).,,,,,,,True,"Original Medicare is made up of Part A, which covers hospital and inpatient services, and Part B, which covers outpatient and physician services.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-017,tf,Most people pay no monthly premium for Medicare Part A because they or their spouse paid Medicare taxes for at least 10 years.,,,,,,,True,"If a person or their spouse paid Medicare taxes for 40 or more quarters (10 years), they qualify for premium-free Part A.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-018,tf,Medicare is only available to people aged 65 and older.,,,,,,,False,"While Medicare primarily serves people 65 and older, it is also available to certain people under 65 who have disabilities, End-Stage Renal Disease (ESRD), or ALS.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-019,tf,People already receiving Social Security benefits are automatically enrolled in Medicare Part A and Part B when they become eligible.,,,,,,,True,Individuals who are already receiving Social Security benefits are automatically enrolled in both Part A and Part B when they reach Medicare eligibility.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-020,tf,Medicaid eligibility rules and covered services are identical in every state.,,,,,,,False,"Medicaid is administered by individual states according to federal requirements, so eligibility rules and covered services can vary from state to state.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-021,tf,"Medicaid covers eligible low-income adults, children, pregnant women, elderly adults, and people with disabilities.",,,,,,,True,Medicaid is a joint federal and state program that provides health coverage to these eligible populations.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-022,tf,The Federal Medical Assistance Percentage (FMAP) is the same for every state.,,,,,,,False,The FMAP varies by state based on per capita income. States with lower per capita incomes receive a higher federal share of Medicaid costs.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-023,tf,"Unlike Medicare, Medicaid allows people to apply at any time during the year rather than only during open enrollment periods.",,,,,,,True,Medicaid does not have a limited enrollment period — eligible individuals can apply at any time during the year.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-024,tf,An EPO (Exclusive Provider Organization) plan typically covers out-of-network care for non-emergency situations.,,,,,,,False,"An EPO limits coverage to in-network providers, meaning services from out-of-network providers are generally not covered except in emergencies.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-025,tf,Employer-sponsored group health plans typically share the cost of premiums between the employer and employees.,,,,,,,True,"In employer-sponsored plans, the employer typically shares the cost of premiums with employees, making coverage more affordable.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-026,tf,"An uninsured individual is someone who is not enrolled in any group health plan, individual health insurance coverage, or federal health care program.",,,,,,,True,This is the definition of an uninsured individual — a person without any form of health insurance coverage.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-027,tf,"Under the No Surprises Act, providers are only required to give a good faith estimate if the patient specifically requests one.",,,,,,,False,"Under the No Surprises Act, providers must give uninsured or self-pay patients a good faith estimate of expected charges before or upon scheduling a service, regardless of whether the patient requests one.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-028,tf,"HIPAA-covered health plans include health insurance companies, HMOs, and government programs such as Medicare and Medicaid.",,,,,,,True,All of these are classified as health plans under HIPAA and must comply with the Privacy Rule and Security Rule.,HIPAA;basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-029,tf,A PPO plan requires members to choose a primary care physician before they can receive any covered services.,,,,,,,False,A PPO (Preferred Provider Organization) generally does not require members to choose a primary care physician or get referrals to see specialists. PPOs offer more flexibility in choosing providers.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-030,tf,"When a patient has coverage from more than one payor, the payor that pays first is called the primary payer.",,,,,,,True,"Coordination of benefits rules determine which payor pays first, and that payor is referred to as the primary payer.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-031,tf,Medicare Part B covers prescription drug costs.,,,,,,,False,"Prescription drug coverage is provided by Medicare Part D, not Part B. Part B covers doctors' services, outpatient care, and preventive services.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-032,tf,"Aetna, Blue Cross Blue Shield, and UnitedHealthcare are examples of government healthcare programs.",,,,,,,False,"Aetna, Blue Cross Blue Shield, and UnitedHealthcare are major commercial (private) health insurance companies, not government programs.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-033,tf,"Commercial health insurance can be obtained through an employer, purchased on the Health Insurance Marketplace, or bought directly from an insurance company.",,,,,,,True,These are the three main channels through which individuals can obtain commercial health insurance coverage.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-034,tf,Medicare Part A covers durable medical equipment such as wheelchairs and oxygen tanks.,,,,,,,False,"Durable medical equipment is covered under Medicare Part B, not Part A. Part A covers inpatient hospital stays, skilled nursing facility care, hospice care, and some home health services.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-035,mc,Which of the following people would be eligible for Medicare under age 65?,A 30-year-old with a household income below the poverty line,A 40-year-old who has been receiving Social Security Disability Insurance benefits for 24 months,A 55-year-old who lost their employer-sponsored coverage,A 60-year-old who is self-employed,,,B,"Medicare is available to certain people under 65 who have disabilities, including those who have received Social Security Disability Insurance for 24 months.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-036,mc,What does the abbreviation CMS stand for?,Centers for Medical Standards,Centers for Medicare & Medicaid Services,Commission for Medical Supervision,Council for Managed Services,,,B,"CMS stands for the Centers for Medicare & Medicaid Services, the federal agency that administers Medicare and oversees Medicaid.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-037,mc,CMS is a federal agency within which department?,Department of Labor,Department of Health and Human Services (HHS),Department of the Treasury,Department of Veterans Affairs,,,B,CMS is a federal agency within the U.S. Department of Health and Human Services (HHS).,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-038,mc,Which Medicare part is also known as Hospital Insurance?,Part A,Part B,Part C,Part D,,,A,Medicare Part A is known as Hospital Insurance because it covers inpatient hospital stays and related institutional care.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-039,mc,Which of the following services is covered under Medicare Part A?,Routine dental cleanings,Hospice care,Annual eye exams for glasses,Prescription medications from a pharmacy,,,B,"Medicare Part A covers hospice care, along with inpatient hospital stays, skilled nursing facility care, and some home health services.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-040,mc,Why do most Medicare beneficiaries not pay a monthly premium for Part A?,Part A is always free for all U.S. residents,They or their spouse paid Medicare taxes for at least 10 years,Part A premiums are waived for anyone over age 65,The federal government covers Part A premiums from the general fund,,,B,Most people qualify for premium-free Part A because they or their spouse paid Medicare taxes for 40 or more quarters (10 years) during their working life.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-041,mc,Which of the following is covered by Medicare Part B?,Inpatient hospital stays,Skilled nursing facility care,Preventive services such as screenings and vaccinations,Hospice care,,,C,"Medicare Part B covers preventive services such as screenings and vaccinations, along with doctors' services, outpatient care, and durable medical equipment.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-042,mc,What is the standard monthly premium for Medicare Part B in 2026?,$104.90,$170.10,$202.90,$350.00,,,C,The standard Medicare Part B premium for 2026 is $202.90 per month.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-043,mc,What is the annual deductible for Medicare Part B in 2026?,$183,$233,$283,$383,,,C,The annual deductible for Medicare Part B in 2026 is $283.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-044,mc,Who is automatically enrolled in Medicare Parts A and B upon eligibility?,Anyone who turns 65,People already receiving Social Security benefits,All U.S. citizens regardless of age,People enrolled in Medicaid,,,B,People already receiving Social Security benefits are automatically enrolled in Medicare Part A and Part B when they become eligible.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-045,mc,Which populations does Medicaid provide health coverage to?,Only children under 18,Only elderly adults over 65,"Eligible low-income adults, children, pregnant women, elderly adults, and people with disabilities",Only people with disabilities,,,C,"Medicaid covers a wide range of populations including eligible low-income adults, children, pregnant women, elderly adults, and people with disabilities.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-046,mc,What does the Federal Medical Assistance Percentage (FMAP) determine?,The percentage of Medicare Part B premiums paid by the government,The federal government's share of Medicaid costs in each state,The maximum number of Medicaid beneficiaries per state,The interest rate on medical debt,,,B,"The FMAP determines the federal share of Medicaid funding for each state, which varies based on per capita income.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-047,mc,How is the FMAP for a state calculated?,It is the same flat rate for all states,It varies by state based on per capita income,It is based on the number of hospitals in the state,It is set by the state governor each year,,,B,"The FMAP varies by state based on per capita income, meaning states with lower incomes receive a higher federal contribution.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-048,mc,Who administers the Medicaid program in each state?,CMS directly runs each state's Medicaid program,Individual states administer their own Medicaid programs according to federal requirements,Private insurance companies administer Medicaid in every state,The Social Security Administration runs Medicaid,,,B,"Medicaid is administered by individual states according to federal requirements, which is why eligibility and services can vary from state to state.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-049,mc,What is a key difference between Medicare and Medicaid eligibility?,Medicare is based on income; Medicaid is based on age,Medicare eligibility is primarily based on age; Medicaid eligibility is based on income and household size,Both programs use the same eligibility criteria,Medicaid is only for people over 65; Medicare is for all ages,,,B,"Medicare eligibility is primarily age-based (65 and older), while Medicaid eligibility is based on income and household size.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-050,mc,How can someone obtain commercial health insurance?,Only through an employer,Only through the Health Insurance Marketplace,"Through an employer, the Health Insurance Marketplace, or directly from an insurance company",Only by purchasing directly from an insurance company,,,C,"Commercial health insurance can be obtained through an employer, purchased on the Health Insurance Marketplace, or bought directly from an insurance company.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-051,mc,Which of the following is a major commercial health insurance company?,Medicare,Medicaid,UnitedHealthcare,TRICARE,,,C,"UnitedHealthcare is one of the major commercial health insurance companies, along with Aetna and Blue Cross Blue Shield.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-052,mc,What does HMO stand for?,Health Management Office,Health Maintenance Organization,Hospital Medical Operations,Healthcare Member Options,,,B,"HMO stands for Health Maintenance Organization, a type of commercial health insurance plan.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-053,mc,What does PPO stand for?,Primary Provider Organization,Patient Payment Option,Preferred Provider Organization,Private Physician Office,,,C,"PPO stands for Preferred Provider Organization, a type of commercial health insurance plan that offers more flexibility in choosing providers.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-054,mc,What does EPO stand for?,Employer Payment Organization,Emergency Provider Option,Extended Provider Office,Exclusive Provider Organization,,,D,"EPO stands for Exclusive Provider Organization, a type of plan that limits coverage to in-network providers.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-055,mc,What does POS stand for in health insurance?,Point of Service,Plan of Support,Provider of Specialty,Program of Selection,,,A,"POS stands for Point of Service, a type of plan that blends features of HMOs and PPOs.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-056,mc,Which type of health plan blends features of both HMOs and PPOs?,EPO,PPO,POS,HMO,,,C,A POS (Point of Service) plan combines features of HMOs (such as requiring a primary care physician) with the flexibility of PPOs (allowing some out-of-network coverage).,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-057,mc,"In a PPO plan, what happens when a member sees an out-of-network provider?",The visit is never covered,The member pays the same amount as an in-network visit,The member typically pays more than they would for an in-network visit,The PPO becomes void and the member loses coverage,,,C,"A PPO allows members to see out-of-network providers, but costs are typically higher than for in-network visits.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-058,mc,Why does employer-sponsored insurance typically cost less for employees than buying individual coverage?,The government subsidizes all employer plans,Employers typically share the cost of premiums with employees,Employer plans do not cover preventive care,Employer plans have no deductibles,,,B,Employer-sponsored group health plans are more affordable for employees because the employer typically shares the cost of premiums.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-059,mc,A patient who chooses not to submit a claim to their insurance for a particular service is considered what type of patient for that service?,Insured,Dual-eligible,Self-pay,Uninsured,,,C,A self-pay patient is someone who does not have insurance or who chooses not to submit a claim to their insurer for a particular service.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-060,mc,What does the No Surprises Act require providers to give uninsured or self-pay patients?,A free health screening,A good faith estimate of expected charges,Automatic enrollment in Medicaid,A 50% discount on all services,,,B,"Under the No Surprises Act, providers must give uninsured or self-pay patients a good faith estimate of expected charges before or upon scheduling a service.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-061,mc,When must a provider give an uninsured patient a good faith estimate under the No Surprises Act?,Only after the service has been completed,Before or upon scheduling the health care service,Within 90 days of the service,Only if the patient files a formal complaint,,,B,The No Surprises Act requires that providers give the good faith estimate before or upon scheduling the service.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-062,mc,What are the three categories of HIPAA-covered entities?,"Hospitals, pharmacies, and laboratories","Health plans, health care providers, and clearinghouses","Medicare, Medicaid, and commercial insurers","Patients, providers, and payors",,,B,"Under HIPAA, the three categories of covered entities are health plans, health care providers who transmit health information electronically, and health care clearinghouses.",HIPAA;basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-063,mc,Which of the following must comply with the HIPAA Privacy Rule and Security Rule?,Only government health programs,Only commercial insurance companies,"All HIPAA-covered health plans, including both government programs and commercial insurers",Only hospitals and doctors,,,C,"All HIPAA-covered health plans must comply with the Privacy Rule and Security Rule, regardless of whether they are government programs or commercial insurers.",HIPAA;basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-064,mc,Which of the following is a HIPAA-covered health plan?,A fitness gym membership,An employer-sponsored group health plan,A life insurance policy,An auto insurance policy,,,B,Employer-sponsored group health plans are classified as HIPAA-covered health plans and must comply with HIPAA rules.,HIPAA;basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-065,mc,Which type of group health plan is exempt from HIPAA covered-entity requirements?,Any plan offered by a large employer,A plan with fewer than 50 participants that is administered solely by the employer,Any plan with fewer than 500 participants,Any plan that does not include dental coverage,,,B,A group health plan with fewer than 50 participants that is administered solely by the employer is exempt from HIPAA covered-entity requirements.,HIPAA;basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-066,mc,What is coordination of benefits?,A process that determines how much a patient owes after insurance pays,Rules that determine which payor pays first when a patient has more than one insurance,The process of enrolling in Medicare and Medicaid at the same time,A method for calculating insurance premiums,,,B,Coordination of benefits rules determine which payor pays first when a patient has coverage from more than one payor.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-067,mc,"In coordination of benefits, what is the payor that pays first called?",The secondary payer,The copayer,The primary payer,The supplemental payer,,,C,"When a patient has more than one insurance, coordination of benefits rules determine which payor pays first, and that payor is called the primary payer.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-068,mc,Which of the following is NOT one of the three broad categories of healthcare payors?,Government programs,Commercial insurance,Self-pay,Charitable organizations,,,D,"The three broad categories of healthcare payors are government programs, commercial insurance, and self-pay. Charitable organizations are not one of the standard payor categories.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-069,mc,A payor is best defined as which of the following?,A patient who pays a copayment at a doctor's office,An entity responsible for paying healthcare providers for services delivered to patients,A government agency that regulates healthcare facilities,A hospital billing department,,,B,"A payor is an entity responsible for paying healthcare providers for services delivered to patients, including insurers and government programs.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-070,mc,Medicare Part A covers skilled nursing facility care. Under which condition is this care typically covered?,When the patient requests long-term residential care,Following a qualifying inpatient hospital stay,Whenever a patient needs any type of nursing care,Only for patients under age 65,,,B,"Medicare Part A covers skilled nursing facility care, which is typically provided after a qualifying inpatient hospital stay for rehabilitation and recovery.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-071,mc,Which of the following correctly describes an HMO plan?,It allows members to see any provider without restrictions,It usually requires members to choose a primary care doctor and get referrals for specialists,It only covers emergency care,It does not have a provider network,,,B,An HMO typically requires members to choose a primary care physician and obtain referrals to see specialists.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-072,mc,Which commercial insurance plan type limits coverage to in-network providers but generally does not require referrals?,HMO,PPO,EPO,POS,,,C,An EPO (Exclusive Provider Organization) limits coverage to in-network providers but does not typically require referrals to see specialists.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-073,mc,Which of the following is an example of a government healthcare payor?,Aetna,Blue Cross Blue Shield,Medicaid,UnitedHealthcare,,,C,Medicaid is a joint federal and state government program that provides health coverage to eligible low-income populations.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-074,mc,Which of the following describes Medicare Part B (Medical Insurance)?,It covers inpatient hospital stays only,"It covers doctors' services, outpatient care, durable medical equipment, and preventive services",It covers prescription drugs only,It covers dental and vision care only,,,B,"Medicare Part B covers doctors' services, outpatient hospital care, durable medical equipment, and preventive services such as screenings and vaccinations.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-075,mc,What happens to the remaining balance after the primary payer pays its share?,The patient must always pay the full remaining balance,The secondary payer may cover some or all of the remaining balance,The remaining balance is automatically forgiven,The provider must absorb the entire remaining balance,,,B,"When a patient has more than one payor, the secondary payer may cover some or all of the remaining balance after the primary payer has paid its share.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-076,mc,What is the Health Insurance Marketplace?,A government-run physical store where insurance is sold,"A platform where individuals can compare and purchase health insurance plans, often with premium subsidies",A database of all insured Americans,An employer-only portal for group health plans,,,B,"The Health Insurance Marketplace is a platform where individuals can compare and purchase commercial health insurance plans, often with income-based premium subsidies.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-077,mc,"Which condition, in addition to disabilities, can qualify someone under 65 for Medicare?",Type 2 diabetes,End-Stage Renal Disease (ESRD),High blood pressure,Asthma,,,B,"Medicare is available to certain people under 65 with disabilities, End-Stage Renal Disease (ESRD), or ALS (amyotrophic lateral sclerosis).",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-078,mc,What is another term for a payor in healthcare?,Payer,Purveyor,Patron,Payee,,,A,Payor is also commonly spelled 'payer' — both terms refer to the entity responsible for paying healthcare providers.,basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-079,mc,Which Medicare part covers home health services?,Part B only,Part D only,Part A covers some home health services,No Medicare part covers home health services,,,C,"Medicare Part A covers some home health services, along with inpatient hospital stays, skilled nursing facility care, and hospice care.",basic
hlthcr,1. Who Pays for Healthcare?,Q-PAY-080,mc,Which of the following best explains why Medicaid services vary from state to state?,Medicaid is a private insurance program with no government oversight,"Each state administers its own Medicaid program according to federal requirements, allowing state-level variation",The federal government randomly assigns different benefits to each state,Only states with high populations are allowed to offer additional services,,,B,"Medicaid is administered by individual states according to federal requirements, which means states have flexibility in setting eligibility rules and covered services beyond the federal minimum.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-001,tf,A healthcare provider can be either a person or a place that is licensed to give healthcare.,,,,,,,True,"A health care provider is a person trained and licensed to give health care, or a place licensed to give health care.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-002,tf,Hospitals bill Medicare using the CMS-1500 claim form.,,,,,,,False,"Hospitals are institutional providers and bill using the CMS-1450 (UB-04) form or its electronic equivalent, the 837I transaction. The CMS-1500 form is used by non-institutional providers like physician offices.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-003,tf,The National Provider Identifier (NPI) is a unique 10-digit number assigned to healthcare providers.,,,,,,,True,"Every health care provider that bills Medicare must have a unique NPI, which is a standard 10-digit number used to identify the provider across all health transactions.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-004,tf,Medicare covers ambulance transportation regardless of the patient's medical condition.,,,,,,,False,Medicare covers ambulance transportation only when the patient's medical condition makes any other means of transportation contraindicated.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-005,tf,A healthcare provider becomes a HIPAA covered entity when it transmits health information electronically in connection with certain transactions.,,,,,,,True,"Under HIPAA, a health care provider becomes a covered entity when it transmits health information electronically in connection with certain transactions such as claims billing.",HIPAA;basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-006,mc,"Under Medicare law, what term is used for entities that furnish equipment or diagnostic services rather than sustained residential care?",Providers,Suppliers,Contractors,Clearinghouses,,,B,"Medicare law distinguishes between providers (institutional care facilities) and suppliers (entities that furnish diagnostic, therapeutic, or equipment services).",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-007,mc,Which enrollment form do physicians use to enroll in Medicare?,CMS-855A,CMS-855S,CMS-855I,CMS-1500,,,C,Physicians and non-physician practitioners enroll in Medicare using form CMS-855I.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-008,mc,Which of the following is an example of Durable Medical Equipment (DME)?,A prescription medication,A wheelchair,A blood test,An X-ray image,,,B,"Examples of DME include hospital beds, wheelchairs, ventilators, oxygen equipment, prosthetics, and orthotics.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-009,mc,Which claim form do non-institutional providers (such as physician offices) use to bill Medicare?,UB-04 (CMS-1450),CMS-1500,CMS-855I,CMS-855A,,,B,"Non-institutional providers and suppliers bill Medicare using the CMS-1500 claim form or its electronic equivalent, the 837P transaction.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-010,mc,What is the first step a provider must take before enrolling in Medicare?,Complete a PECOS application,Obtain a National Provider Identifier (NPI),Contact their regional Medicare Administrative Contractor (MAC),Post a surety bond,,,B,"To enroll in Medicare, a provider must first obtain an NPI, then complete an application through PECOS, and finally work with their regional MAC.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-011,mc,Which of the following is an example of an ancillary service?,An inpatient hospital stay,Ambulance transportation,Laboratory tests,A wheelchair rental,,,C,"Ancillary services include laboratory tests, radiology, pharmacy services, and other diagnostic or therapeutic services that support a patient's primary care.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-012,mc,How long does a Medicare enrollment application submitted through PECOS typically take to process?,7 days,30 days,65 days,90 days,,,B,Medicare enrollment applications submitted online through PECOS process in approximately 30 days.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-013,mc,What must a state Medicaid agency verify before approving a provider's enrollment?,That the provider has at least five years of experience,That the provider holds an unrestricted license,That the provider is enrolled in Medicare Part B,That the provider has completed a residency program,,,B,State Medicaid agencies must verify that a provider holds an unrestricted license before approving enrollment.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-014,mc,Which of the following is NOT an institutional provider under Medicare?,Hospital,Skilled nursing facility,Physician office,Hospice,,,C,"Institutional providers include hospitals, critical access hospitals, skilled nursing facilities, home health agencies, and hospices. A physician office is a non-institutional provider setting.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-015,mc,"What additional requirements must DMEPOS suppliers meet to enroll in Medicare, beyond submitting form CMS-855S?",Complete a residency program and pass a board exam,"Obtain accreditation from a CMS-approved organization and post a $50,000 surety bond",Register with the state pharmacy board and obtain a DEA number,Submit a paper application and complete an in-person interview,,,B,"DMEPOS suppliers must obtain accreditation from a CMS-approved organization and post a $50,000 surety bond per NPI to enroll in Medicare.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-016,tf,"A physician office is a common outpatient setting where patients receive evaluation, diagnosis, and treatment from a licensed physician.",,,,,,,True,"A physician office is a common provider setting where patients receive outpatient evaluation, diagnosis, and treatment from a licensed physician.",basic
